"mzref","mzmatch","mzshift"
348.9437416,348.943389892578,-1.00792013140046
362.9593916,362.959228515625,-0.449318515453352
376.9750416,376.974700927734,-0.903699789185959
382.9047696,382.904357910156,-1.07517554348773
390.9906916,390.991027832031,0.859948941196193
396.9204196,396.919860839844,-1.40773850036625
410.9360696,410.936065673828,-0.00955421575670658
418.8628476,418.862731933594,-0.27614386647538
424.9517196,424.950500488281,-2.86882406285454
432.8784976,432.878082275391,-0.959448463438476
446.8941476,446.894104003906,-0.0975535123490184
452.8238756,452.822845458984,-2.2749264584781
452.9830196,452.983795166016,1.71213043776455
460.9097976,460.909820556641,0.0498072307297701
461.0689416,461.067962646484,-2.12322589382038
466.8395256,466.839447021484,-0.168320185669299
466.9986696,466.998260498047,-0.876023808597404
474.9254476,474.925811767578,0.766788934939671
480.8551756,480.855133056641,-0.0884743713476707
481.0143196,481.014526367188,0.429856615599938
488.9410976,488.941070556641,-0.0553100557214729
494.8708256,494.871154785156,0.665194105677326
495.0299696,495.029907226562,-0.125999315891443
500.8005536,500.800201416016,-0.703242002917072
502.9567476,502.956634521484,-0.224827514876633
508.8864756,508.885955810547,-1.02142516657586
509.0456196,509.046051025391,0.847518128050922
514.8162036,514.816223144531,0.0379640949895561
516.9723976,516.971862792969,-1.03449823192662
522.9021256,522.901977539062,-0.283152296056869
528.8318536,528.831665039062,-0.356561232575751
530.9880476,530.987976074219,-0.134703185000557
536.9177756,536.917419433594,-0.663353724654046
542.8475036,542.847290039062,-0.393408712512344
545.0036976,545.004028320312,0.606822144412703
550.9334256,550.933654785156,0.415994284674772
556.8631536,556.863342285156,0.338835771405968
559.0193476,559.017822265625,-2.72858959442998
562.7928816,562.792846679688,-0.0620482483497257
564.9490756,564.949035644531,-0.0707240183059681
570.8788036,570.878479003906,-0.568590201059034
576.8085316,576.808654785156,0.213563339416559
578.9647256,578.964599609375,-0.217613646187144
584.8944536,584.89453125,0.132758995237918
590.8241816,590.82421875,0.0628782659588699
592.9803756,592.98046875,0.157087829261844
598.9101036,598.910400390625,0.495551207533989
604.8398316,604.839721679688,-0.181734579606333
612.7666096,612.765808105469,-1.30799315551996
612.9257536,612.926086425781,0.543011578952062
618.8554816,618.85546875,-0.020764136933311
626.7822596,626.7822265625,-0.0527096921918893
626.9414036,626.941589355469,0.296288405486061
632.8711316,632.871276855469,0.229518240736199
640.7979096,640.797790527344,-0.185819358165117
646.7276376,646.728637695312,1.54639334145566
646.8867816,646.887634277344,1.31812454366694
654.8135596,654.813537597656,-0.0336009286761596
660.7432876,660.743591308594,0.4596468846813
660.9024316,660.901306152344,-1.70289531773284
668.8292096,668.829406738281,0.294751303333523
674.7589376,674.758911132812,-0.0392246563811361
682.8448596,682.844787597656,-0.105444659482285
688.7745876,688.774597167969,0.0138912917291428
696.8605096,696.860473632812,-0.0516131808372438
702.7902376,702.790161132812,-0.108805136104397
716.8058876,716.805847167969,-0.056405830302052
722.7356156,722.736145019531,0.732521713144604
730.8215376,730.821350097656,-0.256563790418381
736.7512656,736.751098632812,-0.226626264937136
750.7669156,750.766723632812,-0.25569478816751
764.7825656,764.782348632812,-0.283697873431341
784.7279436,784.728210449219,0.340053162275024
798.7435936,798.742858886719,-0.919836211759022
